CKT_name, mitdb_Se, mitdb_P+, mitdb_VSe, mitdb_VP+, mitdb_SSe, mitdb_SP+, nstdb_Se, nstdb_P+, nstdb_VSe, nstdb_VP+, nstdb_SSe, nstdb_SP+, escdb_Se, escdb_P+, escdb_VSe, escdb_VP+, escdb_SSe, escdb_SP+, ahadb_Se, ahadb_P+, ahadb_VSe, ahadb_VP+, ahadb_SSe, ahadb_SP+, afdb_Se, afdb_P+, afdb_VSe, afdb_VP+, afdb_SSe, afdb_SP+
250_05_78_0_0_0_5_0_0.99_c1, 99.30, 99.74, 0.00, -, 0.00, -, 84.24, 91.98, 0.00, -, 0.00, -, 99.18, 99.73, 0.00, -, 0.00, -, 97.52, 99.12, 0.00, -, -, -, 95.04, 97.49, -, -, -, -
250_05_78_0_0_0_5_0_0.99_c2, 99.40, 99.33, 0.00, -, 0.00, -, 85.59, 86.43, 0.00, -, 0.00, -, 99.41, 98.95, 0.00, -, 0.00, -, 97.65, 98.31, 0.00, -, -, -, 95.92, 96.48, -, -, -, -
250_05_78_0_0_0_5_0_0.99_c3, 99.52, 99.65, 0.00, -, 0.00, -, 88.04, 87.02, 0.00, -, 0.00, -, 99.49, 99.33, 0.00, -, 0.00, -, 99.00, 98.69, 0.00, -, -, -, 95.87, 96.72, -, -, -, -
250_05_78_0_0_0_5_0_0.99_c4, 99.09, 99.63, 0.00, -, 0.00, -, 82.21, 92.04, 0.00, -, 0.00, -, 99.05, 99.55, 0.00, -, 0.00, -, 97.55, 98.96, 0.00, -, -, -, 95.24, 96.45, -, -, -, -
250_05_78_0_0_0_5_0_0.99_c5, 99.33, 97.96, 0.00, -, 0.00, -, 83.65, 90.40, 0.00, -, 0.00, -, 99.26, 98.91, 0.00, -, 0.00, -, 97.74, 98.54, 0.00, -, -, -, 95.67, 96.48, -, -, -, -
250_05_78_0_0_0_5_0_0.99_c6, 99.47, 99.65, 0.00, -, 0.00, -, 84.98, 89.73, 0.00, -, 0.00, -, 99.26, 99.47, 0.00, -, 0.00, -, 98.87, 98.81, 0.00, -, -, -, 95.40, 97.42, -, -, -, -
250_05_78_0_0_0_5_0_0.99_c7, 99.46, 99.71, 0.00, -, 0.00, -, 84.99, 89.46, 0.00, -, 0.00, -, 99.25, 99.56, 0.00, -, 0.00, -, 99.07, 98.73, 0.00, -, -, -, 95.37, 97.19, -, -, -, -
